ADDRESS,BED,BATH,INNER_DIM,OUTER_DIM,PRICE
"6039 Rover Ln, Columbus, OH 43232",3,2.5,1682,6098,"185,000"
"4416 Wingfield St, Columbus, OH 43231",3,2,1400,7405,"180,000"
"1292 Eagle View Dr, Columbus, OH 43228",3,2,1209,7405,"210,000"
"3785 Sunbury Rd, Columbus, OH 43219",3,2,1237,35719.2,"214,500"
"4270 Umiak Dr, Columbus, OH 43207",3,2.5,1936,7405,"199,999"
"3322 Pine Valley Rd, Columbus, OH 43219",3,3.5,1742,7405,"184,900"
"5029 Kilbourne Run Pl, Columbus, OH 43229",3,2.5,1498,10890,"199,900"
"936 Cypress Ridge Pl, Columbus, OH 43228",3,2.5,1476,24393.6,"209,900"
"2651 Winningwillow Dr, Columbus, OH 43207",3,2.5,1521,6970,"195,000"
"1392 Bryson Rd, Columbus, OH 43224",4,3,2066,8712,"200,000"
